Index,Surah Name (English),Surah Name (Arabic),Number of Verses,Number of Words
1,Al-Fatihah,الفاتحة,7,29
2,Al-Baqarah,البقرة,286,6140
3,Aal Imran,آل عمران,200,3501
4,An-Nisa,النساء,176,3763
5,Al-Ma'idah,المائدة,120,2837
6,Al-An'am,الأنعام,165,3056
7,Al-A'raf,الأعراف,206,3341
8,Al-Anfal,الأنفال,75,1242
9,At-Tawbah,التوبة,129,2505
10,Yunus,يونس,109,1839
11,Hud,هود,123,1946
12,Yusuf,يوسف,111,1795
13,Ar-Ra'd,الرعد,43,853
14,Ibrahim,إبراهيم,52,830
15,Al-Hijr,الحجر,99,657
16,An-Nahl,النحل,128,1844
17,Al-Isra,الإسراء,111,1558
18,Al-Kahf,الكهف,110,1583
19,Maryam,مريم,98,971
20,Ta-Ha,طه,135,1353
21,Al-Anbiya,الأنبياء,112,1174
22,Al-Hajj,الحج,78,1279
23,Al-Mu'minun,المؤمنون,118,1052
24,An-Nur,النور,64,1319
25,Al-Furqan,الفرقان,77,896
26,Ash-Shu'ara,الشعراء,227,1320
27,An-Naml,النمل,93,1159
28,Al-Qasas,القصص,88,1438
29,Al-Ankabut,العنكبوت,69,978
30,Ar-Rum,الروم,60,817
31,Luqman,لقمان,34,550
32,As-Sajdah,السجدة,30,374
33,Al-Ahzab,الأحزاب,73,1303
34,Saba,سبأ,54,884
35,Fatir,فاطر,45,780
36,Ya-Sin,يس,83,733
37,As-Saffat,الصافات,182,865
38,Sad,ص,88,735
39,Az-Zumar,الزمر,75,1187
40,Ghafir,غافر,85,1228
41,Fussilat,فصلت,54,795
42,Ash-Shura,الشورى,53,860
43,Az-Zukhruf,الزخرف,89,848
44,Ad-Dukhan,الدخان,59,346
45,Al-Jathiyah,الجاثية,37,488
46,Al-Ahqaf,الأحقاف,35,647
47,Muhammad,محمد,38,574
48,Al-Fath,الفتح,29,560
49,Al-Hujurat,الحجرات,18,353
50,Qaf,ق,45,373
51,Adh-Dhariyat,الذاريات,60,360
52,At-Tur,الطور,49,312
53,An-Najm,النجم,62,360
54,Al-Qamar,القمر,55,346
55,Ar-Rahman,الرحمن,78,352
56,Al-Waqi'ah,الواقعة,96,379
57,Al-Hadid,الحديد,29,575
58,Al-Mujadilah,المجادلة,22,475
59,Al-Hashr,الحشر,24,447
60,Al-Mumtahanah,الممتحنة,13,352
61,As-Saff,الصف,14,226
62,Al-Jumu'ah,الجمعة,11,177
63,Al-Munafiqun,المنافقون,11,180
64,At-Taghabun,التغابن,18,287
65,At-Talaq,الطلاق,12,289
66,At-Tahrim,التحريم,12,254
67,Al-Mulk,الملك,30,337
68,Al-Qalam,القلم,52,301
69,Al-Haqqah,الحاقة,52,261
70,Al-Ma'arij,المعارج,44,217
71,Nuh,نوح,28,227
72,Al-Jinn,الجن,28,286
73,Al-Muzzammil,المزمل,20,200
74,Al-Muddaththir,المدثر,56,255
75,Al-Qiyamah,القيامة,40,164
76,Al-Insan,الإنسان,31,241
77,Al-Mursalat,المرسلات,50,181
78,An-Naba,النبأ,40,174
79,An-Nazi'at,النازعات,46,179
80,Abasa,عبس,42,133
81,At-Takwir,التكوير,29,104
82,Al-Infitar,الإنفطار,19,81
83,Al-Mutaffifin,المطففين,36,169
84,Al-Inshiqaq,الإنشقاق,25,108
85,Al-Buruj,البروج,22,109
86,At-Tariq,الطارق,17,61
87,Al-A'la,الأعلى,19,72
88,Al-Ghashiyah,الغاشية,26,92
89,Al-Fajr,الفجر,30,139
90,Al-Balad,البلد,20,82
91,Ash-Shams,الشمس,15,54
92,Al-Layl,الليل,21,71
93,Ad-Duha,الضحى,11,40
94,Ash-Sharh,الشرح,8,31
95,At-Tin,التين,8,34
96,Al-Alaq,العلق,19,72
97,Al-Qadr,القدر,5,30
98,Al-Bayyinah,البينة,8,94
99,Az-Zalzalah,الزلزلة,8,72
100,Al-'Adiyat,العاديات,11,40
101,Al-Qari'ah,القارعة,11,36
102,At-Takathur,التكاثر,8,28
103,Al-'Asr,العصر,3,14
104,Al-Humazah,الهمزة,9,34
105,Al-Fil,الفيل,5,23
106,Quraysh,قريش,4,17
107,Al-Ma'un,الماعون,7,25
108,Al-Kawthar,الكوثر,3,10
109,Al-Kafirun,الكافرون,6,27
110,An-Nasr,النصر,3,19
111,Al-Masad,المسد,5,23
112,Al-Ikhlas,الإخلاص,4,15
113,Al-Falaq,الفلق,5,23
114,An-Nas,الناس,6,20